ID;	GameName;	Publisher;	ReleaseYear;	Developer;	Genre;	OfficialWebsite;	media_url;  description;
1;	GTA V (PS5);	Rockstar;	2013;	Rockstar;	Action, Crime, Open World;	www.rockstargames.com;	https://image.migros.ch/fm-lg/f6dabf2d87fe48ccb4dd9b1326f55c77cde0b81f/ps5-grand-theft-auto-5-box.jpg; Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the seventh main entry in the Grand Theft Auto series, following 2008's Grand Theft Auto IV, and the fifteenth instalment overall. Set within the fictional state of San Andreas, based on Southern California, the single-player story follows three protagonists—retired bank robber Michael De Santa, street gangster Franklin Clinton, and drug dealer and gunrunner Trevor Philips—and their attempts to commit heists while under pressure from a corrupt government agency and powerful criminals. The open world design lets players freely roam San Andreas' open countryside and the fictional city of Los Santos, based on Los Angeles.
2;	Call of Duty: Black Ops III;	Activision;	2015;	Treyarch;	Action, War, Zombie;	https://www.activision.com/;	https://m.media-amazon.com/images/I/615S2VgX71L.jpg; Call of Duty: Black Ops III combines three unique game modes: Campaign, Multiplayer and Zombies, providing fans with the deepest and most ambitious Call of Duty ever. The Campaign has been designed as a co-op game that can be played with up to 4 players online or as a solo cinematic thrill-ride. Multiplayer will be the franchise’s deepest, most rewarding and most engaging to date, with new ways to rank up, customize, and gear up for battle. And Zombies delivers an all-new mind-blowing experience with its own dedicated narrative. The title ushers in an unprecedented level of innovation, including jaw-dropping environments, never before experienced weaponry and abilities, and the introduction of a new, improved fluid movement system.
3;	Call of Duty: Advanced Warfare;	Activision;	2014;	Sledgammer games, Infinity Ward;	Action, War, Zombie;	https://www.activision.com/;	https://m.media-amazon.com/images/I/512xXwpvduL._AC_.jpg; Call of Duty: Advanced Warfare is a 2014 first-person shooter video game published by Activision. The eleventh major installment in the Call of Duty series, the game was developed by Sledgehammer Games for PlayStation 4, Windows and Xbox One, while High Moon Studios developed the versions released on PlayStation 3 and Xbox 360, and Raven Software developed the game's multiplayer and the Exo-Zombies mode. Advanced Warfare was the first Call of Duty title to be developed primarily by Sledgehammer, following the supporting work the studio did on Call of Duty: Modern Warfare 3 alongside Infinity Ward in 2011. Though the game was released on November 4, 2014, a special edition entitled the Day Zero Edition, which came with bonus in-game content, was released on November 3 for people who pre-ordered the game.
4;	Horizon 2: Forbidden West;	Sony;	2022;	Sony;	Open World, Survival;	https://www.sony.net/;	https://i.jeuxactus.com/datas/jeux/h/o/horizon-2-forbidden-west/xl/horizon-2-forbidden-wes-61d788dc7acba.jpg; Horizon Forbidden West is a 2022 action role-playing game developed by Guerrilla Games and published by Sony Interactive Entertainment. The sequel to 2017's Horizon Zero Dawn, the game is set in a post-apocalyptic version of the Western United States recovering from the aftermath of an extinction event caused by a rogue robot swarm. The player can explore the open world and complete quests using ranged and melee weapons against hostile machine creatures.
5;	God of War;	Sony;	2018;	Sony;	Survival, Open World;	Https://www.sony.net/;	https://m.media-amazon.com/images/I/51g7+oFfvhS._AC_.jpg; God of War is an action-adventure game franchise created by David Jaffe at Sony's Santa Monica Studio. It began in 2005 on the PlayStation 2 (PS2) video game console and has become a flagship series for PlayStation, consisting of nine installments across multiple platforms. Based on ancient mythologies, the story follows Kratos, a Spartan warrior and later the Greek God of War, who was tricked into killing his family by his former master, the original Greek God of War Ares. This sets off a series of events that leads to wars with the different mythological pantheons. The Greek-based games see Kratos follow a path of vengeance due to the machinations of the Olympian gods, while the Norse-based games, which introduce his son Atreus as a secondary protagonist, show Kratos on a path of redemption and inadvertently coming into conflict with the Norse gods.
6;	Watch Dogs: Legion;	Ubisoft;	2021;	Ubisoft;	Open World, Crime, Action;	https://www.ubisoft.com/en-us/;	https://www.eoyunum.com/wp-content/uploads/2020/11/Watch-Dogs-Legion.jpg; Watch Dogs: Legion is a 2020 action-adventure game developed by Ubisoft Toronto and published by Ubisoft. It is the third installment in the Watch Dogs series and the sequel to 2016's Watch Dogs 2. Set within a fictionalised representation of a futuristic, dystopian London, the game's story follows the hacker syndicate DedSec as they seek to clear their names after being framed for a series of terrorist bombings. While searching for the true culprits, DedSec also attempt to liberate London's citizens from the control of Albion, an oppressive private military company that has turned the city into a surveillance state following the bombings.
7;	FIFA 22;	EA Sports;	2022;	EA Sports;	Sport, Action;	https://www.ea.com/en-gb;	https://m.media-amazon.com/images/I/41iTUOzKdlL._AC_.jpg; FIFA 22 is a football simulation video game published by Electronic Arts. It is the 29th installment in the FIFA series, and was released worldwide on 1 October 2021 for Nintendo Switch, PlayStation 4, PlayStation 5, Stadia, Windows, Xbox One, and Xbox Series X/S.[1] Players who pre-ordered the ultimate edition, however, received four days of early access and were able to play the game from 27 September.
8;	Battlefield 2042;	EA; 	2022;	EA; 	War, Action;	https://www.ea.com/en-gb;	https://www.digiseller.ru/preview/73392/p1_3202328_114ed4e5.png;  Battlefield 2042 is a 2021 first-person shooter, developed by DICE and published by Electronic Arts. It is the twelfth main installment in the Battlefield series and was released on November 19, 2021, for PlayStation 4, PlayStation 5, Windows, Xbox One, and Xbox Series X/S. Unlike previous games in the series, Battlefield 2042 is solely multiplayer and does not have a single-player campaign. It features support for cross-platform play, a first in the series. Battlefield 2042 received mixed reviews from critics and a negative reception from players for its technical issues, lack of features, and certain changes to the gameplay. The game failed to meet the sales expectations of Electronic Arts.
9;	Battlefield 4;	EA;  	2014;	EA; 	War, Action;	https://www.ea.com/en-gb;	https://cdn.gamekult.com/images/gallery/36/361783/battlefield-4-premium-edition-pc-ps3-ps4-xone-fb865940.jpg; Battlefield 4 is a 2013 first-person shooter video game developed by DICE and published by Electronic Arts. The game was released in October and November for Microsoft Windows, PlayStation 3, Xbox 360, PlayStation 4, and Xbox One, and is the sequel to 2011's Battlefield 3, taking place six years later during the fictional "War of 2020".
10;	Battlefield V;	EA;  	2019;	EA; 	War, Action;	https://www.ea.com/en-gb;	https://www.picclickimg.com/iqgAAOSwlVRfMZXF/Champ-de-Bataille-5-V-Xbox-One-Neuf.webp; Battlefield V is a first-person shooter game developed by DICE and published by Electronic Arts. It is the eleventh main installment in the Battlefield series and the successor to 2016's Battlefield 1, and was released for PlayStation 4, Windows, and Xbox One on November 20, 2018. Those who pre-ordered the Deluxe Edition of the game were granted early access on November 15, 2018,[2] and Origin Access Premium subscribers on PC received access to the game on November 9, 2018.[3] The game is based on World War II and is a thematic continuation of its World War I-based precursor Battlefield 1.
